Data,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,>89,Totali
08/09/20,3889,8411,23674,25160,36627,48011,34675,35868,42721,19534,278570
15/09/20,4453,9321,25607,26734,38193,49663,35591,36430,43066,19643,288701
22/09/20,5074,10261,27284,28366,39857,51318,36620,37016,43439,19747,298982
29/09/20,5839,11372,29157,30022,41658,53298,37810,37723,43880,19893,310652
06/10/20,6924,13209,31734,32384,44161,55978,39429,38786,44593,20156,327354
13/10/20,8863,17040,36454,36701,48908,60958,42289,40639,46005,20619,358476
20/10/20,11959,25158,45479,45135,58411,71016,48156,44235,48642,21545,419736
27/10/20,17115,39862,62925,61176,77187,91208,59521,51553,54214,23462,538223
07/11/20,29237,73182,104884,101273,128357,146908,90879,71995,69340,28400,844455
